epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.703,2.03662,3.21257,1.39576,0.00315,0.85714,0.14184,0.03757,1.88597,3.42236,1.23743,0.000544327,0.000544327,0.000544327
2,14.6972,1.74564,1.99361,1.25043,0.23157,0.19643,0.18971,0.05267,2.24801,2.58735,1.51619,0.00109267,0.00109267,0.00109267
3,18.6015,1.70445,1.77724,1.25364,0.33336,0.44147,0.2361,0.05297,2.75056,1.89624,1.90601,0.00163361,0.00163361,0.00163361
4,22.4229,1.64997,1.69785,1.23069,0.3623,0.54762,0.36026,0.13935,1.82285,1.80662,1.23092,0.00163369,0.00163369,0.00163369
5,26.1534,1.61874,1.6344,1.20641,0.36078,0.41133,0.29211,0.13151,1.82291,2.03375,1.2165,0.00162259,0.00162259,0.00162259
6,29.7894,1.59779,1.58879,1.20987,0.30947,0.55494,0.31015,0.0701,2.70332,1.92096,1.82914,0.00161149,0.00161149,0.00161149
7,33.4552,1.55123,1.50734,1.19197,0.45182,0.69516,0.46,0.22149,1.71581,1.55627,1.17816,0.00160039,0.00160039,0.00160039
8,37.2315,1.50933,1.4636,1.16555,0.40048,0.78886,0.49288,0.19501,1.95338,1.47034,1.2758,0.00158928,0.00158928,0.00158928
9,40.8459,1.5045,1.43597,1.17199,0.46115,0.84127,0.47548,0.20327,1.87272,1.41703,1.25758,0.00157818,0.00157818,0.00157818
10,44.4882,1.50105,1.39659,1.17095,0.34581,0.6131,0.29486,0.06925,2.79703,1.59528,1.815,0.00156708,0.00156708,0.00156708
11,47.9701,1.4151,1.36115,1.13097,0.41731,0.72917,0.44337,0.23858,1.47036,1.46727,1.08889,0.00155598,0.00155598,0.00155598
12,51.5325,1.49808,1.40062,1.16564,0.48753,0.69287,0.52831,0.23727,1.79085,1.36228,1.20581,0.00154488,0.00154488,0.00154488
13,55.0864,1.46456,1.39925,1.15858,0.42626,0.81151,0.48346,0.18529,2.01638,1.38396,1.33978,0.00153377,0.00153377,0.00153377
14,58.6169,1.45016,1.34745,1.13516,0.46154,0.76488,0.49724,0.27574,1.43503,1.29344,1.07198,0.00152267,0.00152267,0.00152267
15,62.1108,1.44231,1.38097,1.15678,0.49279,0.79429,0.53016,0.24192,1.83133,1.31578,1.19336,0.00151157,0.00151157,0.00151157
16,65.6622,1.39163,1.32564,1.13972,0.40448,0.69147,0.44472,0.17252,2.03242,1.43263,1.37646,0.00150047,0.00150047,0.00150047
17,69.249,1.43974,1.34957,1.14846,0.44891,0.84127,0.4975,0.17826,2.08315,1.37137,1.32681,0.00148936,0.00148936,0.00148936
18,72.766,1.41063,1.33995,1.14685,0.46849,0.81052,0.53059,0.26008,1.65926,1.27792,1.12031,0.00147826,0.00147826,0.00147826
19,76.2408,1.38751,1.30881,1.11482,0.47318,0.81548,0.55224,0.33548,1.29836,1.24213,1.01524,0.00146716,0.00146716,0.00146716
20,79.8331,1.32692,1.27897,1.11068,0.43496,0.86111,0.53106,0.25444,1.69544,1.30774,1.15494,0.00145606,0.00145606,0.00145606
21,83.4338,1.45004,1.29689,1.1462,0.41935,0.82907,0.48956,0.21147,1.88251,1.37058,1.26422,0.00144496,0.00144496,0.00144496
22,87.134,1.38577,1.29041,1.11509,0.4917,0.79464,0.52842,0.29119,1.44094,1.27464,1.0688,0.00143385,0.00143385,0.00143385
23,90.7378,1.41541,1.27473,1.14343,0.466,0.78555,0.53222,0.32068,1.36693,1.22084,1.03767,0.00142275,0.00142275,0.00142275
24,94.2341,1.36491,1.26949,1.1104,0.39251,0.7495,0.55602,0.29202,1.46908,1.36955,1.06429,0.00141165,0.00141165,0.00141165
25,97.853,1.36362,1.22636,1.1048,0.50152,0.76687,0.57996,0.34044,1.36903,1.22376,1.03183,0.00140055,0.00140055,0.00140055
26,101.546,1.34105,1.24543,1.11609,0.4763,0.82639,0.57994,0.34585,1.35006,1.19772,1.01852,0.00138944,0.00138944,0.00138944
27,105.363,1.34695,1.24693,1.11659,0.47111,0.90079,0.56619,0.29556,1.58791,1.22673,1.09262,0.00137834,0.00137834,0.00137834
28,109.125,1.36694,1.23078,1.11262,0.46867,0.83512,0.5955,0.34168,1.37813,1.19799,1.03725,0.00136724,0.00136724,0.00136724
29,112.994,1.31891,1.25181,1.12382,0.46686,0.80159,0.50086,0.25059,1.6625,1.20554,1.1287,0.00135614,0.00135614,0.00135614
30,116.676,1.31731,1.23735,1.10227,0.42885,0.85317,0.56436,0.2908,1.66538,1.32356,1.12113,0.00134504,0.00134504,0.00134504
31,120.352,1.32303,1.22364,1.12317,0.46364,0.84518,0.57077,0.29591,1.51875,1.20779,1.07787,0.00133393,0.00133393,0.00133393
32,123.98,1.32663,1.20306,1.08486,0.49111,0.7748,0.54246,0.28312,1.57004,1.22165,1.08655,0.00132283,0.00132283,0.00132283
33,127.665,1.31595,1.2259,1.10974,0.43056,0.7996,0.57145,0.35032,1.26234,1.23091,1.0082,0.00131173,0.00131173,0.00131173
34,131.162,1.2978,1.21561,1.09925,0.48619,0.84325,0.5671,0.33895,1.38776,1.16269,1.04452,0.00130063,0.00130063,0.00130063
35,134.839,1.37887,1.21383,1.10715,0.49581,0.76389,0.57939,0.35492,1.30032,1.1628,1.00335,0.00128952,0.00128952,0.00128952
36,138.541,1.35203,1.22317,1.12105,0.52341,0.74895,0.5769,0.29519,1.65777,1.16634,1.11381,0.00127842,0.00127842,0.00127842
37,142.42,1.37612,1.21677,1.12127,0.51361,0.7263,0.57557,0.34201,1.27584,1.28139,1.00559,0.00126732,0.00126732,0.00126732
38,146.144,1.35418,1.20804,1.09493,0.45193,0.83433,0.54375,0.27154,1.66541,1.24035,1.14227,0.00125622,0.00125622,0.00125622
39,149.921,1.30593,1.22606,1.09036,0.47843,0.78727,0.58082,0.3622,1.26148,1.16229,1.00228,0.00124512,0.00124512,0.00124512
40,153.807,1.30026,1.18817,1.10002,0.48995,0.75099,0.58592,0.30796,1.59111,1.18534,1.10916,0.00123401,0.00123401,0.00123401
41,157.39,1.29633,1.19213,1.09134,0.48478,0.85218,0.62535,0.33809,1.50307,1.15972,1.07542,0.00122291,0.00122291,0.00122291
42,160.926,1.2836,1.18069,1.0946,0.45208,0.84623,0.59839,0.34672,1.36486,1.2187,1.03162,0.00121181,0.00121181,0.00121181
43,164.409,1.27979,1.1527,1.0901,0.49474,0.79807,0.61275,0.36982,1.30717,1.12945,1.01121,0.00120071,0.00120071,0.00120071
44,168.208,1.30586,1.18797,1.08661,0.48775,0.83829,0.59217,0.37856,1.2576,1.11564,0.99724,0.0011896,0.0011896,0.0011896
45,171.985,1.27443,1.18529,1.09172,0.45434,0.86876,0.57431,0.35408,1.26216,1.14189,0.99563,0.0011785,0.0011785,0.0011785
46,175.986,1.23079,1.1723,1.06619,0.45702,0.78075,0.60551,0.37328,1.24032,1.18628,0.98629,0.0011674,0.0011674,0.0011674
47,179.887,1.21979,1.15207,1.05707,0.4977,0.81535,0.60916,0.33402,1.55271,1.19412,1.06767,0.0011563,0.0011563,0.0011563
48,183.897,1.26507,1.18066,1.06267,0.47333,0.81944,0.56146,0.37014,1.17678,1.11803,0.96146,0.0011452,0.0011452,0.0011452
49,188.03,1.29538,1.19298,1.09799,0.49115,0.84226,0.55971,0.35524,1.30577,1.14121,1.00071,0.00113409,0.00113409,0.00113409
