epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.2365,1.25063,1.22595,1.01639,0.44443,0.79067,0.52041,0.29752,1.36253,1.3119,0.9702,0.00121181,0.00121181,0.00121181
43,72.6986,1.19142,1.16368,0.9929,0.40366,0.85119,0.50065,0.31289,1.24763,1.28943,0.95331,0.00120071,0.00120071,0.00120071
44,74.1636,1.20821,1.16523,1.00503,0.48766,0.75681,0.55055,0.35504,1.13075,1.33644,0.93225,0.0011896,0.0011896,0.0011896
45,75.628,1.2354,1.175,1.02344,0.47865,0.6967,0.52602,0.33293,1.25263,1.66673,0.96612,0.0011785,0.0011785,0.0011785
46,77.1129,1.25276,1.18701,1.00962,0.47878,0.81147,0.52186,0.32783,1.26855,1.43816,0.95337,0.0011674,0.0011674,0.0011674
47,78.5502,1.24239,1.17535,1.01566,0.44232,0.81944,0.52681,0.34277,1.18971,1.52596,0.94892,0.0011563,0.0011563,0.0011563
48,79.9989,1.21634,1.16016,1.00368,0.48701,0.77479,0.57809,0.36103,1.14832,1.35771,0.93712,0.0011452,0.0011452,0.0011452
49,81.5377,1.16837,1.15653,0.98293,0.49551,0.76091,0.55561,0.30838,1.3781,1.2684,1.00678,0.00113409,0.00113409,0.00113409
50,82.9578,1.20896,1.15438,1.0035,0.48448,0.67144,0.4857,0.20374,2.00479,1.4506,1.23524,0.00112299,0.00112299,0.00112299
51,84.388,1.23199,1.18358,1.00974,0.4798,0.73233,0.51713,0.16778,2.36734,1.42101,1.43381,0.00111189,0.00111189,0.00111189
52,85.8189,1.24812,1.16933,1.01027,0.43,0.80952,0.49585,0.17588,2.21879,1.4926,1.30851,0.00110079,0.00110079,0.00110079
53,87.2919,1.23168,1.16411,1.01478,0.43066,0.82044,0.54758,0.18977,2.22112,1.44466,1.30147,0.00108968,0.00108968,0.00108968
54,88.7223,1.21558,1.1347,1.00646,0.48528,0.78071,0.58103,0.37205,1.24497,1.21123,0.94591,0.00107858,0.00107858,0.00107858
55,90.1819,1.21517,1.13308,1.00523,0.46591,0.74008,0.59028,0.37712,1.1436,1.24767,0.92856,0.00106748,0.00106748,0.00106748
56,91.6466,1.20785,1.13183,1.00054,0.48547,0.81275,0.58656,0.3279,1.46548,1.17848,1.01819,0.00105638,0.00105638,0.00105638
57,93.0996,1.1617,1.11408,0.98446,0.48603,0.84979,0.58502,0.36363,1.19505,1.17852,0.94171,0.00104528,0.00104528,0.00104528
58,94.5537,1.17416,1.12204,0.98621,0.5071,0.76387,0.53777,0.339,1.16248,1.28587,0.94375,0.00103417,0.00103417,0.00103417
59,95.9954,1.1873,1.11704,1.0022,0.49767,0.70734,0.58479,0.37242,1.20308,1.16866,0.93767,0.00102307,0.00102307,0.00102307
60,97.4541,1.17644,1.12028,0.99185,0.55915,0.79235,0.63727,0.41472,1.13562,1.10245,0.92633,0.00101197,0.00101197,0.00101197
61,98.9071,1.16521,1.12546,0.98979,0.5414,0.81845,0.63526,0.4037,1.14167,1.14782,0.91761,0.00100087,0.00100087,0.00100087
62,100.358,1.1821,1.10832,0.99281,0.53454,0.77817,0.60854,0.38823,1.23056,1.11382,0.9374,0.000989765,0.000989765,0.000989765
63,101.801,1.17951,1.08414,0.99708,0.5214,0.72631,0.60277,0.37659,1.14276,1.11779,0.91784,0.000978662,0.000978662,0.000978662
64,103.219,1.16294,1.0862,0.98754,0.5511,0.74405,0.61444,0.3854,1.12451,1.14579,0.92277,0.00096756,0.00096756,0.00096756
65,104.667,1.18393,1.09368,1.01241,0.54524,0.68643,0.60394,0.36642,1.32654,1.1829,0.9748,0.000956458,0.000956458,0.000956458
66,106.231,1.15793,1.10334,1.00431,0.50121,0.69147,0.5917,0.34139,1.3783,1.22844,0.97777,0.000945356,0.000945356,0.000945356
67,107.758,1.15856,1.09481,0.99326,0.43507,0.80556,0.56246,0.26932,1.82163,1.44043,1.12427,0.000934253,0.000934253,0.000934253
